year,month,fare_group,fare_type,count,pct
2025,8,Sponsored Fare,Burlington School District,3098,0.021274258010465452
2025,8,Sponsored Fare,Champlain College,2566,0.017620963865350017
2025,8,Sponsored Fare,Employer Program,386,0.0026506983834860116
2025,8,Sponsored Fare,Essex Westford School District,516,0.0035434206369916632
2025,8,Sponsored Fare,South Burlington School District,792,0.005438738652126739
2025,8,Sponsored Fare,St. Michael's College,877,0.006022441664034281
2025,8,Sponsored Fare,UVM,44560,0.30599772012470644
2025,9,Discounted Fare,Discount Cash,16844,0.09073964337660938
2025,9,Discounted Fare,Discount Mobile,1847,0.009949900339384797
2025,9,Discounted Fare,Discount Smart Card,17804,0.09591122124656574
2025,9,Discounted Fare,Discount Smart Card Daily Fare Cap,5389,0.029030867855411303
2025,9,Discounted Fare,Discount Smart Card Monthly Fare Cap,1356,0.007304853741313365
2025,9,Discounted Fare,Free Ride,6686,0.0360178850401336
2025,9,Regular Fare,Regular Cash,6227,0.033545224371060715
2025,9,Regular Fare,Regular Credit Card,9243,0.04979259817917363
2025,9,Regular Fare,Regular Mobile,8623,0.04645262080482681
2025,9,Regular Fare,Regular Smart Card,3431,0.0184830038248128
2025,9,Regular Fare,Regular Smart Card Daily Fare Cap,702,0.003781716317405592
2025,9,Regular Fare,Regular Smart Card Monthly Fare Cap,194,0.001045089694553682
2025,9,Sponsored Fare,Burlington School District,26612,0.1433604482034154
2025,9,Sponsored Fare,Champlain College,4204,0.022647201422183915
2025,9,Sponsored Fare,Employer Program,398,0.0021440499919194098
2025,9,Sponsored Fare,Essex Westford School District,858,0.004622097721273501
2025,9,Sponsored Fare,South Burlington School District,653,0.003517750363626569
2025,9,Sponsored Fare,St. Michael's College,1886,0.010159995690351776
2025,9,Sponsored Fare,UVM,68689,0.3700317836556591
2025,9,Sponsored Fare,UVMMC,76,4.0941658137154553e-4
2025,10,Discounted Fare,Discount Cash,17070,0.08762069018617472
2025,10,Discounted Fare,Discount Mobile,1893,0.009716811161243628
2025,10,Discounted Fare,Discount Smart Card,16761,0.08603458630406997
2025,10,Discounted Fare,Discount Smart Card Daily Fare Cap,5061,0.025978225719521398
2025,10,Discounted Fare,Discount Smart Card Monthly Fare Cap,3863,0.0198288650374454
2025,10,Discounted Fare,Free Ride,7100,0.03644445813250384
2025,10,Regular Fare,Regular Cash,6523,0.033482704281453876
2025,10,Regular Fare,Regular Credit Card,9775,0.05017529271059507
2025,10,Regular Fare,Regular Mobile,7075,0.036316132575699246
2025,10,Regular Fare,Regular Smart Card,3127,0.01605096064511824
2025,10,Regular Fare,Regular Smart Card Daily Fare Cap,720,0.00369577603597222
2025,10,Regular Fare,Regular Smart Card Monthly Fare Cap,565,0.002900157583783756
2025,10,Sponsored Fare,Burlington School District,28213,0.14481795736511702
2025,10,Sponsored Fare,Champlain College,4607,0.023647833607950024
2025,10,Sponsored Fare,Employer Program,438,0.002248263755216434
2025,10,Sponsored Fare,Essex Westford School District,793,0.004070486661841626
2025,10,Sponsored Fare,South Burlington School District,297,0.0015245076148385408
2025,10,Sponsored Fare,St. Michael's College,1769,0.009080316399492857
2025,10,Sponsored Fare,UVM,73363,0.37657391295420833
2025,10,Sponsored Fare,UVMMC,2173,0.011154057397455048
2025,11,Discounted Fare,Discount Cash,14363,0.09668407873125286
2025,11,Discounted Fare,Discount Mobile,1562,0.01051455343439511
2025,11,Discounted Fare,Discount Smart Card,12907,0.08688306093325077
2025,11,Discounted Fare,Discount Smart Card Daily Fare Cap,4650,0.03130132744554242
2025,11,Discounted Fare,Discount Smart Card Monthly Fare Cap,4213,0.02835967581248822
2025,11,Discounted Fare,Free Ride,4309,0.029005896766202643
2025,11,Regular Fare,Regular Cash,4847,0.03262742669431056
2025,11,Regular Fare,Regular Credit Card,7960,0.053582487412154337
2025,11,Regular Fare,Regular Mobile,6060,0.040792697703223024
2025,11,Regular Fare,Regular Smart Card,2515,0.016929642693664343
2025,11,Regular Fare,Regular Smart Card Daily Fare Cap,719,0.004839925684590323
2025,11,Regular Fare,Regular Smart Card Monthly Fare Cap,649,0.004368722905840222
2025,11,Sponsored Fare,Burlington School District,21528,0.1449150488704596
2025,11,Sponsored Fare,Champlain College,3085,0.020766579606343736
2025,11,Sponsored Fare,Employer Program,383,0.002578152346589838
2025,11,Sponsored Fare,Essex Westford School District,493,0.0033186138560542824
2025,11,Sponsored Fare,South Burlington School District,303,0.002039634885161151
2025,11,Sponsored Fare,St. Michael's College,1039,0.00699399553030507
2025,11,Sponsored Fare,UVM,51723,0.34817173321844963
2025,11,Sponsored Fare,UVMMC,2166,0.014580360268181696
2025,12,Discounted Fare,Discount Cash,14557,0.11719668303679252
2025,12,Discounted Fare,Discount Mobile,1610,0.012961919330166653
2025,12,Discounted Fare,Discount Smart Card,12578,0.10126398840673054
2025,12,Discounted Fare,Discount Smart Card Daily Fare Cap,4274,0.03440946783672812
2025,12,Discounted Fare,Discount Smart Card Monthly Fare Cap,4128,0.03323403912728444
2025,12,Discounted Fare,Free Ride,4145,0.03337090411400048
2025,12,Regular Fare,Regular Cash,5280,0.0425086546976894
2025,12,Regular Fare,Regular Credit Card,8993,0.07240157797278803
2025,12,Regular Fare,Regular Mobile,6984,0.05622735689558007
2025,12,Regular Fare,Regular Smart Card,3069,0.024708155543031962
2025,12,Regular Fare,Regular Smart Card Daily Fare Cap,853,0.006867401980516867
2025,12,Regular Fare,Regular Smart Card Monthly Fare Cap,702,0.0056517188632155225
2025,12,Sponsored Fare,Burlington School District,21039,0.16938249738346348
2025,12,Sponsored Fare,Champlain College,2141,0.01723693744465019
2025,12,Sponsored Fare,Employer Program,379,0.0030512841156106595
2025,12,Sponsored Fare,Essex Westford School District,473,0.003808066983334675
2025,12,Sponsored Fare,South Burlington School District,302,0.002431366234602689
2025,12,Sponsored Fare,St. Michael's College,623,0.005015699219064487
2025,12,Sponsored Fare,UVM,25798,0.20769664278238467
2025,12,Sponsored Fare,UVMMC,3052,0.024571290556315916
2026,1,Discounted Fare,Discount Cash,13275,0.09658408818072683
2026,1,Discounted Fare,Discount Mobile,1564,0.011379097093382808
2026,1,Discounted Fare,Discount Smart Card,12375,0.09003601440576231
2026,1,Discounted Fare,Discount Smart Card Daily Fare Cap,4263,0.031016042780748664
2026,1,Discounted Fare,Discount Smart Card Monthly Fare Cap,3368,0.024504347193422822
2026,1,Discounted Fare,Free Ride,3824,0.02782203790607152
2026,1,Regular Fare,Regular Cash,5143,0.03741860380515843
2026,1,Regular Fare,Regular Credit Card,9124,0.06638291680308488
2026,1,Regular Fare,Regular Mobile,7615,0.05540397977372767
2026,1,Regular Fare,Regular Smart Card,3415,0.024846302157226528
2026,1,Regular Fare,Regular Smart Card Daily Fare Cap,940,0.006839099276074066
2026,1,Regular Fare,Regular Smart Card Monthly Fare Cap,758,0.005514933246025683
2026,1,Sponsored Fare,Burlington School District,21764,0.15834697515369783
2026,1,Sponsored Fare,Champlain College,2779,0.020218996689584923
2026,1,Sponsored Fare,Employer Program,406,0.0029539088362617776
2026,1,Sponsored Fare,Essex Westford School District,460,0.0033467932627596494
2026,1,Sponsored Fare,South Burlington School District,287,0.002088107970460912
2026,1,Sponsored Fare,St. Michael's College,980,0.0071301247771836
2026,1,Sponsored Fare,UVM,38464,0.2798501218669286
2026,1,Sponsored Fare,UVMMC,3425,0.02491905853250391
2026,2,Discounted Fare,Discount Cash,13402,0.09287273483247288
2026,2,Discounted Fare,Discount Mobile,1580,0.010949031565087836
2026,2,Discounted Fare,Discount Smart Card,11636,0.08063476664010256
2026,2,Discounted Fare,Discount Smart Card Daily Fare Cap,4165,0.028862478777589132
2026,2,Discounted Fare,Discount Smart Card Monthly Fare Cap,3686,0.02554312047399605
2026,2,Discounted Fare,Free Ride,2435,0.01687398219049929
2026,2,Regular Fare,Regular Cash,5317,0.03684557014656457
2026,2,Regular Fare,Regular Credit Card,8908,0.06173036277329268
2026,2,Regular Fare,Regular Mobile,7519,0.052104916669554066
2026,2,Regular Fare,Regular Smart Card,3086,0.021385260385988012
2026,2,Regular Fare,Regular Smart Card Daily Fare Cap,858,0.0059457399258514955
2026,2,Regular Fare,Regular Smart Card Monthly Fare Cap,921,0.006382315235092339
2026,2,Sponsored Fare,Burlington School District,19351,0.1340979176050726
2026,2,Sponsored Fare,Champlain College,3320,0.023006825820311147
2026,2,Sponsored Fare,Employer Program,431,0.002986729496552441
