month,route,weekday_monthly_vh,weekday_monthly_ridership,saturday_monthly_vh,saturday_monthly_ridership,sunday_monthly_vh,sunday_monthly_ridership,total_vh,total_ridership
June,7,729.1833333333334,16524,88.46666666666667,1708,27.25,563,844.9000000000001,18795
July,7,764.1333333333332,13097,103.2,1898,36.333333333333336,664,903.6666666666666,15659
August,7,785.2166666666666,15965,129,2456,36.333333333333336,700,950.55,19121
September,7,779,24585,103.2,2363,45.41666666666667,1938,927.6166666666667,28886
October,7,895.85,26110,103.2,2085,36.333333333333336,737,1035.3833333333334,28932
November,7,779,20310,129,2576,36.333333333333336,806,944.3333333333334,23692
December,7,821.89918699187,19286,89.73333333333333,1727,45.41666666666667,848,957.04918699187,21861
June,756,0,0,0,0,9.333333333333334,186,9.333333333333334,186
June,778,0,0,0,0,12,91,12,91
January,8,356.03333333333336,5173,35.26666666666666,207,28.2,161,419.5,5541
February,8,323.6666666666667,5539,35.26666666666666,333,28.2,162,387.1333333333333,6034
March,8,327.95,4839,44.08333333333332,333,35.25,217,407.2833333333333,5389
April,8,343.56666666666666,5647,35.26666666666666,239,28.2,174,407.0333333333333,6060
May,8,327.95,3459,44.08333333333332,180,28.2,135,400.2333333333333,3774
June,8,243.43333333333334,2084,39.36666666666666,141,21.15,115,303.95,2340
July,8,356.03333333333336,3398,59.800000000000004,485,28.2,117,444.03333333333336,4000
August,8,356.03333333333336,4146,74.75,772,28.2,212,458.98333333333335,5130
September,8,323.6666666666667,5963,59.800000000000004,824,35.25,716,418.7166666666667,7503
October,8,372.2166666666667,7363,59.800000000000004,587,28.2,263,460.2166666666667,8213
November,8,323.6666666666667,5515,74.75,471,28.2,205,426.6166666666667,6191
December,8,324.314,3956,35.26666666666666,204,35.25,165,394.8306666666667,4325
January,86,585.9333333333334,4147,0,0,0,0,585.9333333333334,4147
February,86,532.6666666666667,3911,0,0,0,0,532.6666666666667,3911
March,86,383.6,3998,0,0,0,0,383.6,3998
April,86,401.8666666666667,4271,0,0,0,0,401.8666666666667,4271
May,86,383.6,3224,0,0,0,0,383.6,3224
June,86,375.7166666666667,2966,0,0,0,0,375.7166666666667,2966
July,86,571.45,3849,0,0,0,0,571.45,3849
August,86,590.1833333333334,3609,0,0,0,0,590.1833333333334,3609
September,86,532.6666666666667,3766,0,0,0,0,532.6666666666667,3766
October,86,612.5666666666667,4484,0,0,0,0,612.5666666666667,4484
November,86,532.6666666666667,3474,0,0,0,0,532.6666666666667,3474
December,86,559.3,3364,0,0,0,0,559.3,3364
January,9,687.1333333333333,11244,43.6,720,0,0,730.7333333333333,11964
February,9,624.6666666666666,10034,43.6,784,0,0,668.2666666666667,10818
March,9,645.75,11427,54.5,964,0,0,700.25,12391
April,9,676.5,12966,43.6,782,0,0,720.1,13748
May,9,645.75,12138,54.5,940,0,0,700.25,13078
June,9,621.3666666666667,9540,42.3,621,0,0,663.6666666666666,10161
July,9,663.3,10267,66.53333333333333,1017,0,0,729.8333333333333,11284
August,9,667.4666666666666,10716,83.16666666666666,1308,0,0,750.6333333333332,12024
September,9,619.6666666666666,12120,66.53333333333333,1162,0,0,686.1999999999999,13282
October,9,712.6166666666666,13977,66.53333333333333,1172,0,0,779.1499999999999,15149
November,9,619.6666666666666,10729,83.16666666666666,1194,0,0,702.8333333333333,11923
December,9,650.8623655913979,9930,43.6,727,0,0,694.4623655913979,10657
January,96,190.66666666666669,859,0,0,0,0,190.66666666666669,859
February,96,173.33333333333337,779,0,0,0,0,173.33333333333337,779
March,96,187.25000000000003,843,0,0,0,0,187.25000000000003,843
April,96,196.16666666666669,902,0,0,0,0,196.16666666666669,902
May,96,187.25000000000003,842,0,0,0,0,187.25000000000003,842
June,96,203.75,803,0,0,0,0,203.75,803
July,96,190.66666666666669,744,0,0,0,0,190.66666666666669,744
August,96,190.66666666666669,863,0,0,0,0,190.66666666666669,863
September,96,173.33333333333337,934,0,0,0,0,173.33333333333337,934
October,96,199.33333333333337,974,0,0,0,0,199.33333333333337,974
November,96,173.33333333333337,774,0,0,0,0,173.33333333333337,774
December,96,182.00000000000003,678,0,0,0,0,182.00000000000003,678
