year,month,route,stop_id,stop_name,total_boardings,latitude,longitude
2025,July,2,805803,Pearl Street at 241 Pearl Apartments,76,44.502877,-73.135618
2025,July,2,805804,Pearl Street at Susie Wilson Road,393,44.504157,-73.139286
2025,July,2,805805,Ethan Allen Avenue at Laurette Drive,203,44.504828,-73.142164
2025,July,2,805806,Ethan Allen Avenue at Green Mtn. Nursing,194,44.506969,-73.145567
2025,July,2,805808,Ethan Allen Avenue at Sloane Hall,165,44.50465687088816,-73.15017664095814
2025,July,2,805809,Ethan Allen Avenue at Catamount Lane,215,44.503856,-73.150807
2025,July,2,805810,Ethan Allen Avenue at Barnes Avenue,432,44.502712,-73.15154
2025,July,2,805811,College Parkway at Cumberland Farms,290,44.497571,-73.158398
2025,July,2,805812,College Parkway at Johnson Avenue,253,44.496917,-73.15976
2025,July,2,805813,College Parkway at Campus Rd. (Saint Mikes East Entrance),396,44.4948981253552,-73.1618200255496
2025,July,2,805814,Saint Michael's College,159,44.49346454402722,-73.16288269076387
2025,July,2,805815,College Parkway at Campus Rd. (Saint Mikes West Entrance),382,44.493114,-73.166998
2025,July,2,805816,College Parkway at Florida Avenue,147,44.493376,-73.171038
2025,July,2,805817,E Allen Street at Dion Street,474,44.4932242751315,-73.1756392046093
2025,July,2,805819,Spinner Place/ Champlain Mill,1977,44.4903075657594,-73.1848931831459
2025,July,2,805820,Colchester Avenue at Barrett Street,389,44.48766,-73.186825
2025,July,2,805821,Colchester Avenue at Opposite Chase Street,320,44.486574,-73.187045
2025,July,2,805822,Colchester Avenue at Nash Place,85,44.483724,-73.189341
2025,July,2,805823,Colchester Avenue at UVM Trinty Campus,96,44.482849,-73.191372
2025,July,2,805824,Colchester Avenue at Mansfield Avenue,152,44.480697,-73.198467
2025,July,2,805825,Pearl Street at N. Prospect Street,176,44.480722,-73.200124
2025,July,2,805826,Pearl Street at N. Williams Street,56,44.480754,-73.203485
2025,July,2,805827,Pearl Street at N. Willard Street,14,44.480709,-73.205423
2025,July,2,805828,Pearl Street at Greene Street,13,44.480637,-73.207642
2025,July,2,805829,Pearl Street at N Union Street,21,44.480617,-73.209172
2025,July,2,805886,Pearl Street at Hillcrest Road,41,44.49273,-73.116386
2025,July,2,805954,Pearl Street at N Winooski Avenue,936,44.48046,-73.21053
2025,July,2,805957,Global Foundries,147,44.4786702168911,-73.1009221958775
2025,July,2,806001,Colchester Avenue at VAS Clinic,125,44.480738,-73.197324
2025,July,2,806013,College Parkway at Camp Johnson,171,44.49880348515874,-73.1559835326247
2025,July,2,806027,Fort Ethan Allen/Elly-Long Music Building,298,44.505446,-73.149362
2025,July,2,806031,Abenaki Way at CCV,320,44.4914,-73.18188
2025,July,2,806048,Ethan Allen Avenue at Winooski Road (#310),93,44.5056706154035,-73.143589963389
2025,July,2,806067,E Allen Street at Gadues Dry Cleaning,179,44.492057,-73.180731
2025,July,2,806068,Abenaki Way at Opposite CCV,280,44.49057554288402,-73.18206826541565
2025,July,2,806130,Ethan Allen Avenue at Rt. 15,100,44.504827,-73.142277000000007
2025,July,4,805792,Amtrak,182,44.4924,-73.11022
2025,July,4,805830,Main Street at Densmore Drive,1,44.49475,-73.10395
2025,July,4,805831,Main Street at #141,1,44.49757,-73.09973
2025,July,4,805832,Main Street at Fairview Drive,1,44.49922,-73.09823
2025,July,4,805833,Main Street at #25,1,44.503347,-73.093617
2025,July,4,805835,Essex Way at Post Office,4,44.507432,-73.078932
2025,July,4,805836,Center Road at Essex Way,7,44.510195,-73.078172
2025,July,4,805838,Route 15 at Sunset Drive,2,44.51062,-73.06947
2025,July,4,805839,Route 15 at Opposite Essex Square,10,44.51078,-73.06588
2025,July,4,805840,Essex Center,8,44.51147,-73.06085
2025,July,4,805842,Sand Hill Road at Opposite Champlain Farms,3,44.50812,-73.05488
2025,July,4,805843,Sand Hill Road at Essex Town Park,6,44.50738,-73.05433
2025,July,4,805845,Sand Hill Road at Foster Road,1,44.504439,-73.052051
2025,July,4,805846,Sand Hill Road at Founders Road,2,44.5021,-73.05018
2025,July,4,805848,Sand Hill Road at Lasalle Road,1,44.49745,-73.04948
2025,July,4,805849,Sand Hill Road at Allen Martin Drive,2,44.49456377283386,-73.04960400944452
2025,July,4,805850,Sand Hill Road at Allen Martin Parkway,1,44.49185,-73.0501
2025,July,4,805851,Sand Hill Road at Opposite Offset House,1,44.4912,-73.05018
2025,July,4,805852,Sand Hill Road at Oak Park,5,44.48924603059581,-73.05032915099912
2025,July,4,805853,Sand Hill Road at River Road,1,44.47907,-73.049364
2025,July,4,805855,River Road at #195,1,44.47912,-73.05692
2025,July,4,805856,River Road at Greenfield Road,5,44.47912,-73.0587
2025,July,4,805858,River Road at Pinewood Drive,1,44.48332,-73.07422
2025,July,4,805859,River Road at 83 River Road Apartments,1,44.48335291971945,-73.076046147429
2025,July,4,805860,River Road at Valleyview Drive,2,44.483526,-73.079358
2025,July,4,805887,Sand Hill Road at Greenbriar Road,5,44.485313462223864,-73.04992254389322
2025,July,4,805913,Educational Drive at Main Street,8,44.494117,-73.106157
2025,July,4,805914,Essex Experience at McDonalds,83,44.5076267390293,-73.0860646551367
2025,July,4,805915,Sand Hill Road at Tanglewood Road,3,44.5057,-73.053
2025,July,4,805916,River Road at Pinewood Plaza,3,44.48340130629136,-73.08151838214587
2025,July,4,806006,Essex Experience,46,44.507,-73.08072
2025,July,4,806012,River Road at Citgo,5,44.483426,-73.084564
2025,July,4,806037,Main Street at Brickyard Road,1,44.495989,-73.102014
2025,July,4,806038,River Road at Maple Street,2,44.48417,-73.09515
2025,July,4,806070,River Road at Opposite #30,2,44.48357,-73.08663
2025,July,5,2562322,Downtown Transit Center,1984,44.479731,-73.214298
2025,July,5,2573649,194 St Paul Street (Eagles Landing),51,44.474220989280326,-73.21381420717712
2025,July,5,4251888,Champlain Parkway at Home Ave,230,44.45162405,-73.217689578
2025,July,5,4251889,Champlain Parkway at Flynn Ave,186,44.455390433,-73.217056133
2025,July,5,4251891,Pine Street at Kilburn Street,79,44.470969443,-73.21518026
2025,July,5,4254428,Pearl Street at Opposite North Champlain Street,2,44.480227,-73.218169
2025,July,5,805484,S. Winooski Avenue at Bank Street,17,44.478387,-73.211225
2025,July,5,805536,Main Street at Pine Street,11,44.47588,-73.2159
2025,July,5,805537,Battery Street at College Street,22,44.4766,-73.21867
2025,July,5,805538,Battery Street at Cherry Street,9,44.47899973630009,-73.21883190406265
2025,July,5,805665,Maple Street at St Paul Street,54,44.473688,-73.213657
2025,July,5,805724,Opposite 230 St Paul Street,201,44.4725758663786,-73.21387942650665
2025,July,5,805726,Pine Street Opposite Pine Place (Old Greyhound),34,44.469792,-73.215209
2025,July,5,805727,Pine Street at Opposite Howard Street,44,44.46707,-73.215043
2025,July,5,805728,Pine Street at Burlington Electric Dept.,87,44.463529,-73.214778
2025,July,5,805729,Pine Street at Opposite Birchcliff Parkway,35,44.459138,-73.214493
2025,July,5,805730,Pine Street at Long Trail Phys. Therapy,48,44.457489,-73.214395
2025,July,5,805731,Howard Center,55,44.45587805178482,-73.21433236507835
2025,July,5,805732,Pine Street at Lyman Avenue,43,44.453353,-73.214448
2025,July,5,805733,Pine Street at Home Avenue,75,44.451123,-73.214484
2025,July,5,805734,Green Mountain Transit Office,4,44.450385,-73.219485
2025,July,5,805738,Opposite Howard Center,99,44.456046,-73.214158
2025,July,5,805739,Champlain School (Pine Street),75,44.45695374427129,-73.21422196016476
2025,July,5,805740,Pine Street at Birchcliff Parkway,138,44.459553,-73.214401
2025,July,5,805745,Pine Street at Locust Street,476,44.462799,-73.214615
2025,July,5,805746,Pine Street at Howard Street,136,44.467066,-73.214898
2025,July,5,805747,230 St Paul Street,259,44.472639,-73.213734
2025,July,5,805906,S. Winooski Avenue at King Street,2,44.475317956005064,-73.21098945119671
2025,July,5,805918,Pine Street at Lakeside Avenue (Cumberland Farms),56,44.460789,-73.214604
2025,July,6,2562322,Downtown Transit Center,5395,44.479731,-73.214298
2025,July,6,4209791,Shelburne Road at Harrington Ave,390,44.38334592099598,-73.22639409692734
2025,July,6,4254393,Shelburne Road at Opposite Prospect Parkway,47,44.457375999999996,-73.20848
2025,July,6,4254428,Pearl Street at Opposite North Champlain Street,2,44.480227,-73.218169
2025,July,6,805484,S. Winooski Avenue at Bank Street,1277,44.478387,-73.211225
2025,July,6,805534,Main Street at S Union Street,39,44.47612,-73.20933
2025,July,6,805535,Main Street at Church Street,4,44.47602,-73.21237
2025,July,6,805537,Battery Street at College Street,3,44.4766,-73.21867
2025,July,6,805539,S Union Street at Adams Street,344,44.47232,-73.20881
2025,July,6,805540,S Union Street at Spruce Street,147,44.470663162357646,-73.20874371616048
2025,July,6,805541,S Union Street at Howard Street,92,44.467451748434605,-73.20807407799322
2025,July,6,805542,S Union Street at St Paul Street,90,44.465256,-73.207703
2025,July,6,805544,Shelburne Road at Opposite Hoover Street,59,44.46058,-73.20817
2025,July,6,805545,Shelburne Road at Birchcliff Parkway,48,44.45862,-73.208362
2025,July,6,805546,Shelburne Road at Burlington Subaru,31,44.456321,-73.20858
2025,July,6,805547,Shelburne Road at Ferguson Avenue,17,44.453955,-73.208797
2025,July,6,805548,Shelburne Road at Lyman Avenue,12,44.45298,-73.20883
2025,July,6,805549,Shelburne Road at Scarff Avenue,48,44.451904,-73.208988
2025,July,6,805550,Shelburne Road at Home Avenue,709,44.450357,-73.209121
2025,July,6,805551,Shelburne Road at Queen City Parkway,47,44.445006,-73.209668
2025,July,6,805552,Shelburne Road at Opposite Brewer Parkway,113,44.44257,-73.20993
2025,July,6,805553,Shelburne Road at Fayette Road,81,44.436915,-73.210534
2025,July,6,805554,Shelburne Road at Holmes Road,17,44.43293,-73.211
2025,July,6,805555,Shelburne Road at Bartlett Bay Road,17,44.42803,-73.21152
2025,July,6,805556,Shelburne Road at Harbor View Road,157,44.42382,-73.21195
2025,July,6,805557,Shelburne Road at Opposite Allen Road,93,44.42202,-73.21215
2025,July,6,805558,Shelburne Road at Pine Haven Shores Road,36,44.4188,-73.2127
2025,July,6,805559,Shelburne Road at Opposite Martindale,25,44.4167,-73.2134
2025,July,6,805560,Shelburne Road at Palmer Court,11,44.41318,-73.21455
2025,July,6,805561,Shelburne Road at Lakeview Drive,23,44.41193,-73.21497
2025,July,6,805563,Shelburne Road at Bay Road,46,44.4057,-73.21698
2025,July,6,805564,Shelburne Road at Green Mountain Kenworth,24,44.40277,-73.2179
2025,July,6,805565,Shelburne Road at Tenneybrook Square,9,44.40097,-73.21848
2025,July,6,805566,Shelburne Road at Opposite Longmeadow Drive (The Commons),70,44.3959070841938,-73.2201433163049
2025,July,6,805568,Shelburne Road at Town Office,62,44.37908,-73.22825
2025,July,6,805569,Shelburne Museum,149,44.37672,-73.22913
2025,July,6,805570,Shelburne Road at Museum Main Gate,32,44.37188,-73.23092
2025,July,6,805571,Marsett Road at Green Hills Drive,86,44.36972,-73.22888
2025,July,6,805572,Marsett Road at Maplewood Drive,54,44.36992,-73.22743
2025,July,6,805573,Marsett Road at Falls Roadd,24,44.370314,-73.224723
2025,July,6,805574,Falls Road at Shelburne Shopping Park,365,44.37948,-73.22692
2025,July,6,805576,Shelburne Road at Webster Road,77,44.38762,-73.22465
2025,July,6,805577,Shelburne Road at Dutch Mill,229,44.3937,-73.22055
2025,July,6,805578,Shelburne Road at Longmeadow Drive,186,44.39648,-73.21962
2025,July,6,805579,Shelburne Road at Opposite Tenneybrook,39,44.40157,-73.218
2025,July,6,805580,Shelburne Road at Opposite Shed Sales Antiques,57,44.40338,-73.21745
2025,July,6,805581,Shelburne Road at Executive Drive,240,44.40637,-73.2165
2025,July,6,805583,Shelburne Road at Hullcrest Road,57,44.41257684917089,-73.21445643594137
2025,July,6,805584,Shelburne Road at Juniper Ridge,66,44.41375,-73.21407
2025,July,6,805585,Shelburne Road at Martindale Road,201,44.41737,-73.21288
2025,July,6,805586,Shelburne Road at Locust Hill,200,44.41945,-73.21218
2025,July,6,805587,Shelburne Road at Allen Road,603,44.4227,-73.21175
2025,July,6,805588,Shelburne Road at Green Mtn. Drive,172,44.42875,-73.21112
2025,July,6,805589,Shelburne Road at IDX Drive,242,44.43377,-73.21058
2025,July,6,805590,Shelburne Road at Sleepquarters,107,44.4351,-73.21048
2025,July,6,805591,Shelburne Road at MacIntosh Drive,258,44.43715,-73.21028
2025,July,6,805592,Shelburne Road at Baldwin Avenue,432,44.438626,-73.210108
2025,July,6,805593,Shelburne Road at Laurel Hill Drive,350,44.441249,-73.20983
2025,July,6,805594,Shelburne Road at Lindenwood Drive,614,44.444169,-73.209501
2025,July,6,805595,Shelburne Road at Farrell Street,2068,44.450421,-73.208905
2025,July,6,805596,Shelburne Road at Hadley Road,245,44.452346,-73.208731
2025,July,6,805597,Shelburne Road at Proctor Avenue,151,44.4549625141176,-73.2084395754862
2025,July,6,805598,Shelburne Road at Kinney Drugs,132,44.456778,-73.208325
2025,July,6,805599,Shelburne Road at Clymer Street,79,44.458365,-73.208201
2025,July,6,805600,Shelburne Road at Adams Court,119,44.4615,-73.20788
2025,July,6,805601,South Union Street at Opposite Saint Paul Street,86,44.465356,-73.207568
2025,July,6,805602,S Union Street at Howard Street,54,44.4672,-73.20783
2025,July,6,805603,S Union Street at Bayview Court,16,44.46843,-73.20813
2025,July,6,805604,S Union Street at Spruce Street,18,44.470452,-73.208604
2025,July,6,805605,S Union Street at Maple Street,25,44.47378,-73.2088
2025,July,6,805606,S Union Street at Opposite King Street,6,44.47498,-73.20885
2025,July,6,805871,Shelburne Road at Flynn Avenue,35,44.455267466135794,-73.20861765878698
2025,July,6,805872,Shelburne Road at Hannaford Drive (Olive Garden),108,44.440723,-73.210134
2025,July,6,805873,Shelburne Road at Opposite Baldwin Avenue,51,44.438538,-73.210366
2025,July,6,805876,S Union Street at Opposite Bayview Street,102,44.4685615194674,-73.2083037554183
2025,July,6,805889,Falls Road at LaPlatte Circle,143,44.3722,-73.22502
2025,July,6,805906,S. Winooski Avenue at King Street,5,44.475317956005064,-73.21098945119671
2025,July,6,805907,Shelburne Road at Harbor Road,21,44.380805,-73.227544
2025,July,6,805908,Maple Street at Union Street,216,44.47377,-73.20912
2025,July,6,805911,Shelburne Road at Alfred Street,93,44.459642,-73.20808
2025,July,6,805912,Vermont Teddy Bear Factory,2,44.36152,-73.23055
2025,July,6,806011,Cherry Street at Opposite 3 Cathedral Square,1,44.479106,-73.217703
2025,July,6,806025,Shelburne Road at Bostwick Road,80,44.36995,-73.23162
2025,July,6,806028,Shelburne Road at Opposite Webster Road (Office Park),18,44.38795,-73.22467
2025,July,6,806041,5224 Shelburne Road,59,44.381457,-73.227305
2025,July,6,820638,Shelburne Road at Locust Street,90,44.463741453424014,-73.2078657103599
2025,July,7,2530430,Northgate,52,44.52018353173355,-73.26474424075396
2025,July,7,2562322,Downtown Transit Center,4445,44.479731,-73.214298
2025,July,7,2734696,Downtown BHS,1,44.47913639404151,-73.21644467263202
2025,July,7,805607,Pearl Street at Elmwood Avenue,50,44.480451,-73.213722
2025,July,7,805610,North Street at Elmwood Avenue,188,44.48478,-73.21363
2025,July,7,805669,North Street at Opposite Murray Street,121,44.48468,-73.21585
2025,July,7,805670,North Street at N. Champlain Street,170,44.48464,-73.21755
2025,July,7,805671,North Street at Blodgett Street,158,44.48448,-73.22113
2025,July,7,805672,North Avenue at Strong Street,96,44.48555,-73.22318
2025,July,7,805673,North Avenue at Washington Street,103,44.48783,-73.22497
2025,July,7,805675,North Ave at Opposite Cambrian Rise,149,44.490374789966715,-73.22694498290925
2025,July,7,805676,North Avenue at Opposite Lakeview Cem.,33,44.49305,-73.22907
2025,July,7,805677,Opposite Burlington High School,23,44.49637,-73.23165
2025,July,7,805678,North Avenue at Beltline,9,44.50003,-73.23538
2025,July,7,805679,North Avenue at Saratoga Avenue,13,44.502521,-73.238743
2025,July,7,805680,North Avenue at Village Green,31,44.503302,-73.239826
2025,July,7,805681,North Avenue at Rite Aid,101,44.50468,-73.24163
2025,July,7,805682,Opposite Ethan Allen Shopping Center,486,44.50669307103158,-73.24436667857378
2025,July,7,805683,North Avenue at Poirier Place,169,44.508373,-73.2467
2025,July,7,805684,North Avenue at Heineberg Road,85,44.509442,-73.248161
2025,July,7,805685,North Avenue at Gosse Court,51,44.51062,-73.24977
2025,July,7,805686,North Avenue at Bessery Market,103,44.51227,-73.25198
2025,July,7,805687,North Avenue at Edgemoor Drive,67,44.51292,-73.25287
