year,month,route,stop_id,stop_name,municipality,total_boardings,pct_total_boardings,pct_route_boardings,latitude,longitude
2026,July,6,805540,S Union Street at Spruce Street,Burlington,87,8.145381007218493e-4,0.0048513912898009255,44.470663162357646,-73.20874371616048
2026,July,6,805541,S Union Street at Howard Street,Burlington,96,8.988006628654889e-4,0.00535325935426309,44.467451748434605,-73.20807407799322
2026,July,6,805542,S Union Street at St Paul Street,Burlington,67,6.272879626248724e-4,0.0037361289243294485,44.465256,-73.207703
2026,July,6,805544,Shelburne Road at Opposite Hoover Street,Burlington,85,7.958130869121516e-4,0.004739865053253778,44.46058,-73.20817
2026,July,6,805545,Shelburne Road at Birchcliff Parkway,Burlington,65,6.085629488151747e-4,0.003624602687782301,44.45862,-73.208362
2026,July,6,805546,Shelburne Road at Burlington Subaru,Burlington,37,3.4641275547940716e-4,0.002063235376122233,44.456321,-73.20858
2026,July,6,805547,Shelburne Road at Ferguson Avenue,Burlington,26,2.434251795260699e-4,0.0014498410751129203,44.453955,-73.208797
2026,July,6,805548,Shelburne Road at Lyman Avenue,Burlington,16,1.4980011047758147e-4,8.922098923771817e-4,44.45298,-73.20883
2026,July,6,805549,Shelburne Road at Scarff Avenue,Burlington,54,5.055753728618375e-4,0.0030112083867729882,44.451904,-73.208988
2026,July,6,805550,Shelburne Road at Home Avenue,Burlington,627,0.005870291829340224,0.03496347515753081,44.450357,-73.209121
2026,July,6,805551,Shelburne Road at Queen City Parkway,South Burlington,47,4.400378245278956e-4,0.0026208665588579715,44.445006,-73.209668
2026,July,6,805552,Shelburne Road at Opposite Brewer Parkway,South Burlington,145,0.001357563501203082,0.008085652149668209,44.44257,-73.20993
2026,July,6,805553,Shelburne Road at Fayette Road,South Burlington,218,0.0020410265052570476,0.012156359783639102,44.436915,-73.210534
2026,July,6,805554,Shelburne Road at Holmes Road,South Burlington,32,2.9960022095516293e-4,0.0017844197847543635,44.43293,-73.211
2026,July,6,805555,Shelburne Road at Bartlett Bay Road,South Burlington,10,9.362506904848843e-5,5.576311827357386e-4,44.42803,-73.21152
2026,July,6,805556,Shelburne Road at Harbor View Road,South Burlington,32,2.9960022095516293e-4,0.0017844197847543635,44.42382,-73.21195
2026,July,6,805557,Shelburne Road at Opposite Allen Road,South Burlington,45,4.213128107181979e-4,0.0025093403223108235,44.42202,-73.21215
2026,July,6,805558,Shelburne Road at Pine Haven Shores Road,Shelburne,38,3.55775262384256e-4,0.002118998494395807,44.4188,-73.2127
2026,July,6,805559,Shelburne Road at Opposite Martindale,Shelburne,16,1.4980011047758147e-4,8.922098923771817e-4,44.4167,-73.2134
2026,July,6,805560,Shelburne Road at Palmer Court,Shelburne,26,2.434251795260699e-4,0.0014498410751129203,44.41318,-73.21455
2026,July,6,805561,Shelburne Road at Lakeview Drive,Shelburne,38,3.55775262384256e-4,0.002118998494395807,44.41193,-73.21497
2026,July,6,805563,Shelburne Road at Bay Road,Shelburne,46,4.306753176230467e-4,0.0025651034405843975,44.4057,-73.21698
2026,July,6,805564,Shelburne Road at Green Mountain Kenworth,Shelburne,9,8.426256214363958e-5,5.018680644621647e-4,44.40277,-73.2179
2026,July,6,805565,Shelburne Road at Tenneybrook Square,Shelburne,5,4.6812534524244215e-5,2.788155913678693e-4,44.40097,-73.21848
2026,July,6,805566,Shelburne Road at Opposite Longmeadow Drive (The Commons),Shelburne,36,3.370502485745583e-4,0.002007472257848659,44.3959070841938,-73.2201433163049
2026,July,6,805568,Shelburne Road at Town Office,Shelburne,81,7.583630592927562e-4,0.004516812580159482,44.37908,-73.22825
2026,July,6,805569,Shelburne Museum,Shelburne,95,8.8943815596064e-4,0.005297496235989517,44.37672,-73.22913
2026,July,6,805570,Shelburne Road at Museum Main Gate,Shelburne,54,5.055753728618375e-4,0.0030112083867729882,44.37188,-73.23092
2026,July,6,805571,Marsett Road at Green Hills Drive,Shelburne,42,3.932252900036514e-4,0.002342050967490102,44.36972,-73.22888
2026,July,6,805572,Marsett Road at Maplewood Drive,Shelburne,34,3.1832523476486065e-4,0.0018959460213015113,44.36992,-73.22743
2026,July,6,805573,Marsett Road at Falls Roadd,Shelburne,19,1.77887631192128e-4,0.0010594992471979034,44.370314,-73.224723
2026,July,6,805574,Falls Road at Shelburne Shopping Park,Shelburne,147,0.0013762885150127799,0.008197178386215358,44.37948,-73.22692
2026,July,6,805576,Shelburne Road at Webster Road,Shelburne,67,6.272879626248724e-4,0.0037361289243294485,44.38762,-73.22465
2026,July,6,805577,Shelburne Road at Dutch Mill,Shelburne,188,0.0017601512981115825,0.010483466235431886,44.3937,-73.22055
2026,July,6,805578,Shelburne Road at Longmeadow Drive,Shelburne,180,0.0016852512428727916,0.010037361289243294,44.39648,-73.21962
2026,July,6,805579,Shelburne Road at Opposite Tenneybrook,Shelburne,26,2.434251795260699e-4,0.0014498410751129203,44.40157,-73.218
2026,July,6,805580,Shelburne Road at Opposite Shed Sales Antiques,Shelburne,54,5.055753728618375e-4,0.0030112083867729882,44.40338,-73.21745
2026,July,6,805581,Shelburne Road at Executive Drive,Shelburne,420,0.003932252900036514,0.02342050967490102,44.40637,-73.2165
2026,July,6,805583,Shelburne Road at Hullcrest Road,Shelburne,275,0.002574689398833432,0.01533485752523281,44.41257684917089,-73.21445643594137
2026,July,6,805584,Shelburne Road at Juniper Ridge,Shelburne,124,0.0011609508562012564,0.006914626665923159,44.41375,-73.21407
2026,July,6,805585,Shelburne Road at Martindale Road,Shelburne,223,0.0020878390397812917,0.01243517537500697,44.41737,-73.21288
2026,July,6,805586,Shelburne Road at Locust Hill,Shelburne,212,0.0019848514638279545,0.011821781073997659,44.41945,-73.21218
2026,July,6,805587,Shelburne Road at Allen Road,South Burlington,683,0.006394592216011759,0.03808620978085094,44.4227,-73.21175
2026,July,6,805588,Shelburne Road at Green Mtn. Drive,South Burlington,170,0.001591626173824303,0.009479730106507557,44.42875,-73.21112
2026,July,6,805589,Shelburne Road at IDX Drive,South Burlington,154,0.0014418260633467218,0.008587520214130374,44.43377,-73.21058
2026,July,6,805590,Shelburne Road at Sleepquarters,South Burlington,91,8.519881283412447e-4,0.0050744437628952215,44.4351,-73.21048
2026,July,6,805591,Shelburne Road at MacIntosh Drive,South Burlington,210,0.001966126450018257,0.01171025483745051,44.43715,-73.21028
2026,July,6,805592,Shelburne Road at Baldwin Avenue,South Burlington,424,0.003969702927655909,0.023643562147995317,44.438626,-73.210108
2026,July,6,805593,Shelburne Road at Laurel Hill Drive,South Burlington,345,0.0032300648821728508,0.01923827580438298,44.441249,-73.20983
2026,July,6,805594,Shelburne Road at Lindenwood Drive,South Burlington,516,0.004831053562902003,0.02877376902916411,44.444169,-73.209501
2026,July,6,805595,Shelburne Road at Farrell Street,South Burlington,2143,0.02006385229709107,0.11950036246026878,44.450421,-73.208905
2026,July,6,805596,Shelburne Road at Hadley Road,South Burlington,306,0.002864927112883746,0.0170635141917136,44.452346,-73.208731
2026,July,6,805597,Shelburne Road at Proctor Avenue,South Burlington,195,0.0018256888464455244,0.010873808063346903,44.4549625141176,-73.2084395754862
2026,July,6,805598,Shelburne Road at Kinney Drugs,Burlington,89,8.33263114531547e-4,0.0049629175263480735,44.456778,-73.208325
2026,July,6,805599,Shelburne Road at Clymer Street,Burlington,81,7.583630592927562e-4,0.004516812580159482,44.458365,-73.208201
2026,July,6,805601,South Union Street at Opposite Saint Paul Street,Burlington,79,7.396380454830585e-4,0.004405286343612335,44.465356,-73.207568
2026,July,6,805602,S Union Street at Howard Street,Burlington,58,5.430254004812329e-4,0.003234260859867284,44.4672,-73.20783
2026,July,6,805603,S Union Street at Bayview Court,Burlington,46,4.306753176230467e-4,0.0025651034405843975,44.46843,-73.20813
2026,July,6,805604,S Union Street at Spruce Street,Burlington,55,5.149378797666863e-4,0.0030669715050465622,44.470452,-73.208604
2026,July,6,805605,S Union Street at Maple Street,Burlington,8,7.490005523879073e-5,4.4610494618859087e-4,44.47378,-73.2088
2026,July,6,805606,S Union Street at Opposite King Street,Burlington,8,7.490005523879073e-5,4.4610494618859087e-4,44.47498,-73.20885
2026,July,6,805871,Shelburne Road at Flynn Avenue,Burlington,67,6.272879626248724e-4,0.0037361289243294485,44.455267466135794,-73.20861765878698
2026,July,6,805872,Shelburne Road at Hannaford Drive (Olive Garden),South Burlington,90,8.426256214363958e-4,0.005018680644621647,44.440723,-73.210134
2026,July,6,805873,Shelburne Road at Opposite Baldwin Avenue,South Burlington,99,9.268881835800353e-4,0.005520548709083812,44.438538,-73.210366
2026,July,6,805876,S Union Street at Opposite Bayview Street,Burlington,94,8.800756490557912e-4,0.005241733117715943,44.4685615194674,-73.2083037554183
2026,July,6,805889,Falls Road at LaPlatte Circle,Shelburne,54,5.055753728618375e-4,0.0030112083867729882,44.3722,-73.22502
2026,July,6,805906,S. Winooski Avenue at King Street,Burlington,937,0.008772668969843364,0.05225004182233871,44.475317956005064,-73.21098945119671
2026,July,6,805907,Shelburne Road at Harbor Road,Shelburne,18,1.6852512428727916e-4,0.0010037361289243294,44.380805,-73.227544
2026,July,6,805908,Maple Street at Union Street,Burlington,240,0.002247001657163722,0.013383148385657725,44.47377,-73.20912
2026,July,6,805911,Shelburne Road at Alfred Street,Burlington,98,9.175256766751866e-4,0.005464785590810238,44.459642,-73.20808
2026,July,6,805912,Vermont Teddy Bear Factory,Shelburne,5,4.6812534524244215e-5,2.788155913678693e-4,44.36152,-73.23055
2026,July,6,806011,Cherry Street at Opposite 3 Cathedral Square,Burlington,2,1.8725013809697683e-5,1.1152623654714772e-4,44.479106,-73.217703
2026,July,6,806025,Shelburne Road at Bostwick Road,Shelburne,63,5.898379350054771e-4,0.003513076451235153,44.36995,-73.23162
2026,July,6,806028,Shelburne Road at Opposite Webster Road (Office Park),Shelburne,18,1.6852512428727916e-4,0.0010037361289243294,44.38795,-73.22467
2026,July,6,806041,5224 Shelburne Road,Shelburne,9,8.426256214363958e-5,5.018680644621647e-4,44.381457,-73.227305
2026,July,6,820638,Shelburne Road at Locust Street,Burlington,68,6.366504695297213e-4,0.0037918920426030225,44.463741453424014,-73.2078657103599
2026,July,7,2562322,Downtown Transit Center,Burlington,4004,0.037487477647014766,0.30354029262375865,44.479731,-73.214298
2026,July,7,805607,Pearl Street at Elmwood Avenue,Burlington,25,2.3406267262122106e-4,0.00189523159730119,44.480451,-73.213722
2026,July,7,805610,North Street at Elmwood Avenue,Burlington,221,0.002069114025971594,0.016753847320142522,44.48478,-73.21363
2026,July,7,805669,North Street at Opposite Murray Street,Burlington,162,0.0015167261185855124,0.012281100750511713,44.48468,-73.21585
2026,July,7,805670,North Street at N. Champlain Street,Burlington,142,0.0013294759804885355,0.01076491547267076,44.48464,-73.21755
2026,July,7,805671,North Street at Blodgett Street,Burlington,153,0.001432463556441873,0.011598817375483284,44.48448,-73.22113
2026,July,7,805672,North Avenue at Strong Street,Burlington,130,0.0012171258976303495,0.00985520430596619,44.48555,-73.22318
2026,July,7,805673,North Avenue at Washington Street,Burlington,95,8.8943815596064e-4,0.007201880069744523,44.48783,-73.22497
2026,July,7,805675,North Ave at Opposite Cambrian Rise,Burlington,167,0.0015635386531097568,0.01266014706997195,44.490374789966715,-73.22694498290925
2026,July,7,805676,North Avenue at Opposite Lakeview Cem.,Burlington,69,6.460129764345701e-4,0.005230839208551285,44.49305,-73.22907
2026,July,7,805677,Opposite Burlington High School,Burlington,89,8.33263114531547e-4,0.006747024486392237,44.497347,-73.232414
2026,July,7,805678,North Avenue at Beltline,Burlington,6,5.6175041429093056e-5,4.5485558335228563e-4,44.50003,-73.23538
2026,July,7,805679,North Avenue at Saratoga Avenue,Burlington,7,6.55375483339419e-5,5.306648472443333e-4,44.502521,-73.238743
2026,July,7,805680,North Avenue at Village Green,Burlington,16,1.4980011047758147e-4,0.0012129482222727618,44.503302,-73.239826
2026,July,7,805681,North Avenue at Rite Aid,Burlington,80,7.490005523879074e-4,0.006064741111363809,44.50468,-73.24163
2026,July,7,805682,Opposite Ethan Allen Shopping Center,Burlington,453,0.004241215627896525,0.03434159654309757,44.50669307103158,-73.24436667857378
2026,July,7,805683,North Avenue at Poirier Place,Burlington,120,0.001123500828581861,0.009097111667045714,44.508373,-73.2467
2026,July,7,805684,North Avenue at Heineberg Road,Burlington,77,7.209130316733609e-4,0.0058373133196876655,44.509442,-73.248161
2026,July,7,805685,North Avenue at Gosse Court,Burlington,54,5.055753728618375e-4,0.0040937002501705705,44.51062,-73.24977
2026,July,7,805686,North Avenue at Bessery Market,Burlington,163,0.0015260886254903612,0.01235691001440376,44.51227,-73.25198
2026,July,7,805687,North Avenue at Edgemoor Drive,Burlington,76,7.11550524768512e-4,0.005761504055795618,44.51292,-73.25287
2026,July,7,805688,North Avenue at Cayuga Court,Burlington,76,7.11550524768512e-4,0.005761504055795618,44.51372,-73.25393
